class,row,n_neighbors,max_abs_delta,mean_delta,any_flip,any_suspicious,any_protective
0,121010,2,0.006516903638839722,-0.003444019937887788,False,False,True
0,121446,1,0.20841644005849957,-0.20841644005849957,False,False,True
0,123530,2,0.004659518599510193,-0.004540480673313141,False,False,True
0,124229,1,0.039571214467287064,-0.039571214467287064,False,False,True
0,124836,2,0.0010455159936100245,-0.0007415261352434754,False,False,True
0,125393,1,0.8966032853350043,-0.8966032853350043,False,False,True
0,128506,1,0.012566558085381985,-0.012566558085381985,False,False,True
0,129169,2,0.02390589565038681,-0.004393939860165119,False,True,True
0,129282,1,0.0006972968112677336,0.0006972968112677336,False,True,False
0,130189,2,0.0017681785393506289,-0.0006650962168350816,False,True,True
0,132850,1,0.012425992637872696,-0.012425992637872696,False,False,True
0,134107,2,0.005544872954487801,-0.0032966785365715623,False,False,True
0,134809,2,0.016541951335966587,-0.010098065249621868,False,False,True
0,135091,1,0.0018868856132030487,-0.0018868856132030487,False,False,True
0,136340,2,0.00043144705705344677,-0.00026294076815247536,False,False,True
0,137053,3,0.003904996206983924,-0.0014229359415670235,False,False,True
0,138246,1,0.0005576196126639843,-0.0005576196126639843,False,False,True
0,143087,1,0.23037250991910696,-0.23037250991910696,False,False,True
0,143739,1,0.0041573988273739815,-0.0041573988273739815,False,False,True
0,145607,2,0.03251655399799347,-0.016479281708598137,False,False,True
0,149409,3,0.0006784764118492603,-0.0002582035958766937,False,True,True
0,151171,1,0.18621075712144375,-0.18621075712144375,False,False,True
0,151714,2,0.001033900072798133,-0.0003118898021057248,False,True,True
0,152551,1,0.001939733512699604,-0.001939733512699604,False,False,True
0,153375,1,0.001557712908834219,-0.001557712908834219,False,False,True
0,156715,2,0.9373587435111403,-0.46893117344006896,False,False,True
0,159052,1,0.009093831293284893,-0.009093831293284893,False,False,True
0,163356,2,0.0009540736209601164,-0.000581940752454102,False,False,True
0,165036,2,0.0007770424708724022,-0.00048293033614754677,False,False,True
0,167673,2,0.0005201236344873905,-0.00045462464913725853,False,False,True
0,168320,1,0.0019228728488087654,0.0019228728488087654,False,True,False
0,172467,2,0.00025522196665406227,-0.00021400547120720148,False,False,True
0,172666,1,0.9011893570423126,-0.9011893570423126,False,False,True
0,175297,5,0.007662058807909489,-0.0008608495816588401,False,True,True
0,176175,5,0.03818851709365845,-0.018264925479888915,False,True,True
0,176551,3,0.0018524324987083673,-0.0009672411251813173,False,False,True
0,180608,1,0.001572473905980587,-0.001572473905980587,False,False,True
0,180788,1,0.0902592740021646,-0.0902592740021646,False,False,True
0,181987,1,0.008361071348190308,-0.008361071348190308,False,False,True
0,184025,1,0.731346792075783,-0.731346792075783,False,False,True
