neighbor,interventions,total_abs_effect,mean_abs_effect,mean_delta
1F8zLazqH3pM3RQWPnzuaEnytobGvwS85R,1,0.11477190256118774,0.11477190256118774,0.11477190256118774
1PXEWSDeNNeiHHoHJPvBQPVWb3Ks3cfhTB,2,0.1117982268333435,0.05589911341667175,-0.05589911341667175
1FmGo2WMExLdGzvFnH1q8rsFhN9Ppzon8,1,0.11072364705614746,0.11072364705614746,0.11072364705614746
1DZcR1hd6cihEuPujZkjwe9mYBXpFjHZuv,1,0.1105547696352005,0.1105547696352005,0.1105547696352005
16tcubW3EVHnrVER133eDZwB7oiiAQPFF2,1,0.10216908156871796,0.10216908156871796,-0.10216908156871796
1CgL9cadWu6XwWAkfRYGc7XBuYtUEMTsUT,1,0.09702759981155396,0.09702759981155396,0.09702759981155396
1JHBUqaCHZpMpUeFGxBDsQ2vE1By7t5vYD,1,0.09395194053649902,0.09395194053649902,0.09395194053649902
1Adnw7DhGpsxhZkNyHNvhfy8jSzfnW5Xoj,1,0.09336161613464355,0.09336161613464355,0.09336161613464355
12Nky4Abg6K5KPRJV2CiVDkK38cYih9qfq,1,0.0926814079284668,0.0926814079284668,-0.0926814079284668
3H5JQ7oZmUmu53E6o53bNx7pjL69GqJYYc,1,0.08557399641722441,0.08557399641722441,0.08557399641722441
1Hnm7hTr3WJsmGumZhnUNZGc5QnYpU3U73,3,0.08508545160293579,0.028361817200978596,-0.028361817200978596
1DCsSV3zHRDMgxqGqimNumA81f4GKJUmba,1,0.08390249311923981,0.08390249311923981,-0.08390249311923981
1D428KQ1afeNyjmjbj5WtgVsf2ZxjRPYWh,1,0.08220425248146057,0.08220425248146057,0.08220425248146057
38DgnT18UXQQVc4cgA9dtixybt4BPVuc1C,5,0.0801767110824585,0.0160353422164917,-0.0160353422164917
14JT8RJJNh1ffMoJjjKKAYeM7N8jaP48UR,1,0.07876967638731003,0.07876967638731003,-0.07876967638731003
