neighbor,interventions,total_abs_effect,mean_abs_effect,mean_delta
1DDmgYSiSA5VckjXxDNMi1DxWZfuHt1gVg,1,0.30718883872032166,0.30718883872032166,0.30718883872032166
1JxfosgwwcUUkWKZLU2JvYjQqBwg3TKrea,2,0.2937485249713063,0.14687426248565316,-0.038107229862362146
17my9ExMmuyCBGSpC42jW7K1KPbCMEBnaL,1,0.29304632544517517,0.29304632544517517,0.29304632544517517
1JNchFeujbm786astAzpeRAVM1igPUMwYx,4,0.2911031786352396,0.0727757946588099,-0.005718267057090998
1Lo45R8qkKDurPwtAU4wy6iyYYFpRPwhQa,2,0.28485847264528275,0.14242923632264137,-0.13975775614380836
1LPkxJBrtvZvSRwaUkmXQrJtLwxUNkSRsd,2,0.28055332228541374,0.14027666114270687,-0.07998578809201717
326DgM2u3F34ZLcUUFes4TeXdiaVCNus5h,3,0.2741429298184812,0.0913809766061604,-0.0913809766061604
1F8zLazqH3pM3RQWPnzuaEnytobGvwS85R,1,0.24772365391254425,0.24772365391254425,0.24772365391254425
1NtHN8Tx7MSGZ3XNx5iyNSRqsmQVnb3Ab6,1,0.23704689741134644,0.23704689741134644,-0.23704689741134644
178FWZR2yXxSCL2V2coJZXF2zVVvh13fdQ,2,0.23155241459608078,0.11577620729804039,-0.11577620729804039
1JNePVExrvnWcJnouKMoV6zC9KPr6tcjjP,2,0.21073004603385925,0.10536502301692963,-0.10536502301692963
1FoxBitjXcBeZUS4eDzPZ7b124q3N7QJK7,1,0.18621075712144375,0.18621075712144375,-0.18621075712144375
1ASCBAxmagSnPiTNJCznnpysoeyS6nFBi9,2,0.1711895689368248,0.0855947844684124,-0.0855947844684124
3CXr8guRrcA8g9z9rqck87e7nv49KkKMKy,11,0.1613372564315796,0.01466702331196178,0.01466702331196178
1BxjUjgLy1y9APYWsiDRuZLBjrENJoovxG,1,0.14752498269081116,0.14752498269081116,0.14752498269081116
1Dk7S7v3hDBVcS93LPPKWpCSGbL63Ewwn,1,0.14157521724700928,0.14157521724700928,-0.14157521724700928
1DnigX5TYZ1z92hatgPUTfPKm6d21XDVyo,1,0.1392427682876587,0.1392427682876587,0.1392427682876587
1JHBUqaCHZpMpUeFGxBDsQ2vE1By7t5vYD,1,0.13112664222717285,0.13112664222717285,0.13112664222717285
36524udg8AAiKhXr8ukwFzyWoZ2PCBDq17,4,0.1292373538017273,0.032309338450431824,0.032309338450431824
17tuUbfeLanNs3CiugCFgtGnBT7Q8Pn4qa,1,0.12491488456726074,0.12491488456726074,-0.12491488456726074
3PwguWXaSxHmXRJi9rsPReUKYftekwhLbH,2,0.10344822891056538,0.05172411445528269,-0.03141216281801462
19j9W21psaLRGCYrHPVQHpPRsmxtpSD3MW,1,0.1026606410741806,0.1026606410741806,0.1026606410741806
37keHMHKsGzLnCvNmtfv38o5EMqrFq4DK3,2,0.09938920987769961,0.04969460493884981,-0.04969460493884981
187P8BBqdHJXyjmgSK6YTTfkgYWJG7NFMY,5,0.09701904654502869,0.01940380930900574,-0.0162212073802948
1KD6iM6HxWc2UvY9ZK1vZEcQUidmoDxHFB,2,0.08608618378639221,0.043043091893196106,-0.01339249312877655
12Nky4Abg6K5KPRJV2CiVDkK38cYih9qfq,1,0.08305293321609497,0.08305293321609497,-0.08305293321609497
1H1HkhfHuDa3PWi4cDn7u34mT3ePg2jL1g,1,0.08066940307617188,0.08066940307617188,-0.08066940307617188
1L499U3amJra1Q8n3pYi3urMxRcdkattK5,1,0.0795314610004425,0.0795314610004425,0.0795314610004425
1CjStQKYUZ8cSMk3iJf1eWWe6vLJRgj2TY,2,0.07729966775514185,0.03864983387757093,0.03681942156981677
1DwX1NA2r5hsPnNm72B3W5pTLBczvHKDoh,2,0.07546582724899054,0.03773291362449527,-0.03773291362449527
1PXEWSDeNNeiHHoHJPvBQPVWb3Ks3cfhTB,2,0.07358711957931519,0.03679355978965759,0.03656461834907532
14JT8RJJNh1ffMoJjjKKAYeM7N8jaP48UR,1,0.07296180725097656,0.07296180725097656,-0.07296180725097656
141Zu4pHzkYZefE2audb1FU1gRkJ1TNKT6,1,0.07246667146682739,0.07246667146682739,-0.07246667146682739
19aEYBAZzz6hiysK1h9GfeF1hvXASRHHW5,1,0.06756001710891724,0.06756001710891724,-0.06756001710891724
1DZcR1hd6cihEuPujZkjwe9mYBXpFjHZuv,1,0.06683743000030518,0.06683743000030518,0.06683743000030518
1asrsnCiseKwF1cKqRvsszHnq6FUYuAX7,1,0.06647270917892456,0.06647270917892456,0.06647270917892456
1HfEepHZagyXjPEg71A7VTA8QHX28fJHD7,1,0.06426399946212769,0.06426399946212769,-0.06426399946212769
14MwKXt77b5HiVmXXwbDjaV3UTDwUgQuZ9,1,0.063956618309021,0.063956618309021,-0.063956618309021
12ucu9bHLe2w2ahjibVtp3xmdcGkgUmX4A,2,0.061918582767248154,0.030959291383624077,-0.030959291383624077
18ZayqmKE8ThMMZzjwHH9pEC37oqfYDK16,1,0.06189453601837158,0.06189453601837158,-0.06189453601837158
