class,row,n_neighbors,max_abs_delta,mean_delta,any_flip,any_risk_increasing,any_protective
1,65871,1,0.020906895399093628,-0.020906895399093628,False,False,True
1,67019,1,0.24500268697738647,-0.24500268697738647,False,False,True
1,67065,4,0.21993687748908997,0.02606646716594696,False,True,True
1,67303,2,0.0015963912010192871,-0.00047400593757629395,False,True,True
1,68889,1,0.7031543999910355,0.7031543999910355,False,True,False
1,70238,2,0.0918220654129982,-0.044532474130392075,False,True,True
1,71999,2,0.7047336250543594,0.4222991243004799,False,True,False
1,72192,1,0.39283350110054016,0.39283350110054016,False,True,False
1,74219,3,0.004342138767242432,0.0019100507100423176,False,True,True
1,75813,1,0.007565021514892578,-0.007565021514892578,False,False,True
1,75822,1,0.7026231586933136,0.7026231586933136,False,True,False
1,77483,2,0.07876967638731003,-0.03701265528798103,False,True,True
1,77647,2,0.02946152538061142,-0.018146831542253494,False,False,True
1,80391,1,0.01740860939025879,-0.01740860939025879,False,False,True
1,82447,2,0.05113703012466431,-0.0001507401466369629,True,True,True
1,83136,1,0.03333941102027893,-0.03333941102027893,False,False,True
1,85059,1,0.27235235273838043,-0.27235235273838043,False,False,True
1,87658,1,0.21213090419769287,0.21213090419769287,True,True,False
1,88076,1,0.3280685544013977,-0.3280685544013977,False,False,True
1,88309,1,0.05893485248088837,0.05893485248088837,False,True,False
1,88904,2,0.021005986258387566,-0.018722470849752426,False,False,True
1,92176,1,0.33160218596458435,-0.33160218596458435,False,False,True
1,94431,1,0.01505810022354126,-0.01505810022354126,False,False,True
1,94874,1,0.09763318300247192,-0.09763318300247192,False,False,True
1,94949,1,0.42692264914512634,-0.42692264914512634,False,False,True
1,95425,1,0.6048586070537567,-0.6048586070537567,True,False,True
1,96766,2,0.34484028816223145,-0.13846825063228607,False,True,True
1,97161,1,0.014991402626037598,0.014991402626037598,False,True,False
1,97629,1,0.3008067160844803,-0.3008067160844803,False,False,True
1,97729,1,0.3451002836227417,-0.3451002836227417,False,False,True
1,98163,1,0.014991402626037598,0.014991402626037598,False,True,False
1,98290,1,0.6272255107760429,0.6272255107760429,False,True,False
1,99548,1,0.27495747804641724,-0.27495747804641724,False,False,True
1,100777,1,0.004205584526062012,-0.004205584526062012,False,False,True
1,102320,1,0.006941556930541992,-0.006941556930541992,False,False,True
1,102444,1,0.041404008865356445,-0.041404008865356445,False,False,True
1,102927,1,0.08165965974330902,0.08165965974330902,False,True,False
